Size,InsertionSort Time (ms),QuickSort Time (ms),MergeSort Time (ms),InsertionSort Ops,QuickSort Ops,MergeSort Ops
1000,1.869,2.4261,0.211,999000,749999,14908
2000,10.4962,11.1338,0.442,3998000,2999999,32816
3000,18.194,22.933,0.6926,8997000,6749999,51732
4000,33.6971,42.32,0.9206,15996000,11999999,71632
5000,48.5424,59.7962,1.1155,24995000,18749999,91612
6000,73.987,89.5708,1.371,35994000,26999999,112464
7000,106.712,137.982,1.6579,48993000,36749999,133436
8000,151.78,179.628,1.8518,63992000,47999999,155264
9000,168.12,202.891,2.128,80991000,60749999,176436
10000,200.547,271.059,2.3381,99990000,74999999,198224
